Time,Heart,Cog,EyeY,EyeP,EyeR,HeadY,HeadP,HeadR,FullY,FullP,FullR
50.7962, 45, 0.000,   -0.67,    4.12,   -0.02,    9.71,   -1.16,   -0.27,    9.02,    2.96,   -0.28
50.8970, 45, 0.000,    3.28,    3.77,    0.11,    9.73,   -1.19,   -0.27,   12.99,    2.60,   -0.23
50.9971, 45, 0.000,   -0.74,    4.22,   -0.03,    9.70,   -1.24,   -0.25,    8.95,    2.97,   -0.26
51.0970, 45, 0.000,    1.44,    4.05,    0.05,    9.77,   -1.30,   -0.27,   11.19,    2.76,   -0.25
51.1972, 45, 0.000,    0.98,    4.21,    0.04,    9.80,   -1.23,   -0.31,   10.76,    2.98,   -0.30
51.2965, 45, 0.000,    1.49,    4.18,    0.05,    9.87,   -1.19,   -0.32,   11.34,    3.00,   -0.30
51.3970, 45, 0.000,    1.30,    4.00,    0.05,    9.86,   -1.21,   -0.29,   11.14,    2.80,   -0.27
51.4971, 45, 0.000,    0.22,    4.01,    0.01,    9.82,   -1.18,   -0.28,   10.02,    2.82,   -0.28
51.5963, 45, 0.000,   -0.38,    4.05,   -0.01,    9.83,   -1.17,   -0.27,    9.43,    2.88,   -0.27
51.6967, 45, 0.000,    1.89,    4.00,    0.07,    9.84,   -1.19,   -0.28,   11.71,    2.82,   -0.25
51.7971, 45, 0.000,    1.08,    4.16,    0.04,    9.76,   -1.18,   -0.21,   10.82,    2.99,   -0.20
51.8964, 45, 0.000,    0.50,    4.20,    0.02,    9.68,   -1.19,   -0.14,   10.17,    3.01,   -0.13
51.9965, 45, 0.000,    6.99,    3.86,    0.24,    9.73,   -1.21,   -0.14,   16.70,    2.68,   -0.05
52.0972, 45, 0.000,    1.62,    3.82,    0.05,    9.74,   -1.23,   -0.17,   11.35,    2.60,   -0.15
52.1963, 45, 0.000,    1.37,    3.78,    0.05,    9.76,   -1.19,   -0.20,   11.11,    2.60,   -0.18
52.2965, 45, 0.000,    5.28,    3.64,    0.17,    9.88,   -1.21,   -0.24,   15.13,    2.46,   -0.18
52.3966, 45, 0.000,    1.27,    3.82,    0.04,    9.87,   -1.23,   -0.29,   11.12,    2.60,   -0.28
52.4971, 45, 0.000,    0.10,    3.80,    0.00,    9.88,   -1.15,   -0.30,    9.96,    2.65,   -0.30
52.5962, 45, 0.000,    1.40,    3.66,    0.04,    9.90,   -1.19,   -0.32,   11.28,    2.48,   -0.31
52.6962, 45, 0.000,   -0.11,    3.76,   -0.00,    9.88,   -1.23,   -0.33,    9.75,    2.52,   -0.33
52.7962, 45, 0.000,    4.35,    3.66,    0.14,    9.91,   -1.14,   -0.27,   14.24,    2.54,   -0.22
52.8970, 45, 0.000,    1.37,    3.77,    0.05,    9.91,   -1.16,   -0.29,   11.26,    2.62,   -0.27
52.9962, 45, 0.000,   -1.74,    3.93,   -0.06,    9.92,   -1.18,   -0.26,    8.16,    2.75,   -0.29
53.0966, 45, 0.000,    1.22,    3.76,    0.04,    9.82,   -1.14,   -0.21,   11.02,    2.63,   -0.20
53.1964, 45, 0.000,    2.39,    3.58,    0.07,    9.84,   -1.11,   -0.18,   12.22,    2.48,   -0.15
53.2963, 45, 0.000,    1.28,    3.93,    0.04,    9.89,   -1.12,   -0.20,   11.15,    2.82,   -0.18
53.3962, 45, 0.000,    0.60,    4.14,    0.02,    9.89,   -1.14,   -0.24,   10.47,    3.00,   -0.23
53.4962, 45, 0.000,    0.89,    4.15,    0.03,    9.92,   -1.19,   -0.28,   10.78,    2.97,   -0.26
53.5963, 45, 0.000,    6.42,    3.45,    0.19,    9.84,   -1.18,   -0.32,   16.24,    2.31,   -0.26
53.6970, 45, 0.000,    0.84,    3.84,    0.03,    9.87,   -1.16,   -0.32,   10.69,    2.68,   -0.31
53.7961, 45, 0.000,    2.63,    3.83,    0.09,    9.88,   -1.16,   -0.31,   12.49,    2.69,   -0.28
53.8970, 45, 0.000,    2.62,    3.67,    0.08,    9.82,   -1.22,   -0.29,   12.42,    2.47,   -0.27
53.9970, 45, 0.000,    0.95,    3.95,    0.03,    9.85,   -1.21,   -0.29,   10.78,    2.74,   -0.27
54.0963, 45, 0.000,    1.07,    3.97,    0.04,    9.88,   -1.24,   -0.32,   10.92,    2.74,   -0.31
54.1962, 45, 0.000,    1.57,    3.92,    0.05,    9.86,   -1.25,   -0.32,   11.41,    2.68,   -0.30
54.2964, 45, 0.000,    0.97,    3.88,    0.03,    9.82,   -1.24,   -0.31,   10.77,    2.65,   -0.29
54.3964, 45, 0.000,    1.12,    4.04,    0.04,    9.88,   -1.29,   -0.30,   10.97,    2.76,   -0.28
54.4970, 45, 0.000,    1.58,    3.86,    0.05,    9.88,   -1.32,   -0.32,   11.44,    2.55,   -0.31
54.5963, 45, 0.000,    1.01,    4.00,    0.04,    9.84,   -1.30,   -0.35,   10.82,    2.71,   -0.33
54.6968, 45, 0.000,    1.58,    4.01,    0.06,    9.97,   -1.32,   -0.35,   11.53,    2.70,   -0.33
54.7961, 45, 0.000,   -0.59,    4.39,   -0.02,   10.03,   -1.36,   -0.37,    9.41,    3.03,   -0.38
54.8963, 45, 0.000,    1.08,    4.19,    0.04,    9.95,   -1.23,   -0.40,   11.00,    2.97,   -0.38
54.9970, 45, 0.000,   -0.13,    4.20,   -0.00,   10.01,   -1.21,   -0.38,    9.85,    2.99,   -0.38
55.0963, 45, 0.000,    2.83,    3.76,    0.09,   10.04,   -1.25,   -0.39,   12.84,    2.54,   -0.36
55.1970, 45, 0.000,    1.67,    3.81,    0.06,    9.87,   -1.05,   -0.35,   11.52,    2.77,   -0.32
55.2970, 45, 0.000,    1.35,    3.75,    0.04,    9.94,   -1.01,   -0.33,   11.27,    2.75,   -0.31
55.3961, 45, 0.000,   -2.57,    4.14,   -0.09,   10.01,   -0.97,   -0.33,    7.41,    3.16,   -0.38
55.4962, 45, 0.000,    1.20,    3.80,    0.04,    9.88,   -0.94,   -0.27,   11.06,    2.86,   -0.25
55.5961, 45, 0.000,   -2.44,    3.91,   -0.08,    9.89,   -0.90,   -0.24,    7.43,    2.99,   -0.28
55.6964, 45, 0.000,  135.00,   35.26,   75.00,    9.87,   -0.91,   -0.22,  144.52,   36.06,   74.39
55.7966, 45, 0.000,   -6.56,    4.34,   -0.25,    9.85,   -1.00,   -0.22,    3.28,    3.32,   -0.35
55.8966, 45, 0.000,    3.93,    2.99,    0.10,    9.92,   -1.09,   -0.23,   13.84,    1.92,   -0.20
55.9967, 45, 0.000,    3.95,    3.15,    0.11,    9.96,   -1.19,   -0.27,   13.90,    1.98,   -0.25
56.0966, 45, 0.000,    1.13,    3.91,    0.04,    9.94,   -1.23,   -0.33,   11.05,    2.69,   -0.31
56.1966, 45, 0.000,    1.99,    3.93,    0.07,   10.03,   -1.23,   -0.32,   11.99,    2.71,   -0.29
56.2964, 45, 0.000,    0.95,    4.18,    0.03,   10.08,   -1.27,   -0.29,   11.00,    2.92,   -0.27
56.3968, 45, 0.000,    5.31,    3.95,    0.18,   10.02,   -1.34,   -0.25,   15.30,    2.63,   -0.19
56.4962, 45, 0.000,    1.10,    4.37,    0.04,    9.95,   -1.27,   -0.22,   11.04,    3.10,   -0.20
56.5961, 45, 0.000,    1.05,    4.35,    0.04,    9.95,   -1.29,   -0.24,   10.99,    3.06,   -0.22
56.6961, 45, 0.000,    2.40,    4.08,    0.09,    9.92,   -1.31,   -0.23,   12.31,    2.78,   -0.20
56.7962, 45, 0.000,    0.89,    4.22,    0.03,    9.89,   -1.33,   -0.21,   10.76,    2.90,   -0.20
56.8962, 45, 0.300,   -2.29,    4.57,   -0.09,    9.92,   -1.36,   -0.20,    7.61,    3.20,   -0.23
56.9962, 45, 0.300,    1.14,    4.21,    0.04,    9.93,   -1.38,   -0.22,   11.04,    2.83,   -0.21
57.0963, 45, 0.300,    1.07,    4.29,    0.04,    9.94,   -1.40,   -0.27,   10.99,    2.90,   -0.26
57.1963, 45, 0.300,    6.85,    3.68,    0.22,    9.90,   -1.39,   -0.29,   16.71,    2.34,   -0.23
57.2963, 45, 0.300,    5.10,    3.92,    0.17,    9.91,   -1.38,   -0.27,   14.98,    2.57,   -0.21
57.3962, 45, 0.300,    0.77,    4.43,    0.03,    9.90,   -1.41,   -0.25,   10.66,    3.02,   -0.24
57.4970, 45, 0.300,    0.75,    4.28,    0.03,    9.91,   -1.34,   -0.30,   10.64,    2.94,   -0.29
57.5970, 45, 0.300,    2.28,    4.16,    0.08,    9.90,   -1.35,   -0.30,   12.15,    2.82,   -0.27
57.6962, 45, 0.300,    1.18,    4.28,    0.04,    9.77,   -1.39,   -0.26,   10.93,    2.89,   -0.25
57.7964, 45, 0.300,    1.26,    4.27,    0.05,    9.78,   -1.30,   -0.24,   11.02,    2.98,   -0.22
57.8962, 45, 0.310,    0.68,    4.22,    0.03,    9.80,   -1.30,   -0.25,   10.47,    2.92,   -0.24
57.9962, 45, 0.310,    1.12,    4.20,    0.04,    9.81,   -1.34,   -0.27,   10.90,    2.86,   -0.26
58.0961, 45, 0.310,    1.15,    4.26,    0.04,    9.79,   -1.30,   -0.24,   10.92,    2.96,   -0.22
58.1964, 45, 0.310,   17.84,    2.53,    0.40,    9.77,   -1.33,   -0.22,   27.59,    1.33,   -0.22
58.2964, 45, 0.310,   10.48,    3.78,    0.35,    9.84,   -1.40,   -0.22,   20.29,    2.45,   -0.12
58.3967, 45, 0.310,   16.66,    2.80,    0.41,    9.87,   -1.44,   -0.24,   26.50,    1.49,   -0.23
58.4964, 45, 0.310,   15.29,    2.53,    0.34,    9.91,   -1.45,   -0.24,   25.18,    1.19,   -0.28
58.5965, 45, 0.310,   20.44,    4.90,    0.88,    9.94,   -1.47,   -0.24,   30.32,    3.61,    0.15
58.6969, 45, 0.310,   25.95,    4.02,    0.93,   10.00,   -1.51,   -0.23,   35.89,    2.76,    0.06
58.7961, 45, 0.310,   28.29,    4.03,    1.02,   10.15,   -1.62,   -0.21,   38.38,    2.70,    0.06
58.8967, 45, 0.299,   28.17,    4.45,    1.12,   10.19,   -1.63,   -0.30,   38.29,    3.16,    0.08
58.9966, 45, 0.299,   29.62,    4.14,    1.09,   10.20,   -1.61,   -0.33,   39.75,    2.89,    0.01
59.0961, 45, 0.299,   28.96,    4.43,    1.15,   10.26,   -1.66,   -0.35,   39.14,    3.15,    0.03
59.1962, 45, 0.299,    5.68,    5.09,    0.25,   10.34,   -1.67,   -0.38,   15.98,    3.47,   -0.29
59.2961, 45, 0.299,    2.19,    4.40,    0.08,   10.33,   -1.60,   -0.42,   12.49,    2.82,   -0.40
59.3961, 45, 0.299,    3.83,    4.29,    0.14,   10.39,   -1.52,   -0.46,   14.17,    2.81,   -0.42
59.4969, 45, 0.299,    9.58,    3.22,    0.27,   10.34,   -1.38,   -0.46,   19.88,    1.93,   -0.41
59.5961, 46, 0.299,    2.96,    4.24,    0.11,   10.27,   -1.35,   -0.43,   13.19,    2.91,   -0.39
59.6961, 46, 0.299,  -17.71,    5.02,   -0.78,   10.18,   -1.37,   -0.40,   -7.52,    3.59,   -0.75
59.7961, 46, 0.299,  -11.19,    5.46,   -0.54,   10.10,   -1.36,   -0.36,   -1.11,    4.06,   -0.63
59.8969, 46, 0.653,  -18.67,    5.09,   -0.84,    9.91,   -1.34,   -0.35,   -8.76,    3.70,   -0.74
59.9969, 46, 0.653,  -22.67,    6.42,   -1.29,    9.79,   -1.33,   -0.34,  -12.86,    5.06,   -1.09
60.0960, 46, 0.653,  -31.99,    6.27,   -1.80,    9.73,   -1.37,   -0.29,  -22.22,    4.95,   -1.32
60.1961, 46, 0.653,  -33.82,    6.16,   -1.87,    9.70,   -1.34,   -0.28,  -24.08,    4.88,   -1.36
60.2966, 46, 0.653,  -34.50,    6.26,   -1.95,    9.64,   -1.29,   -0.29,  -24.82,    5.03,   -1.45
60.3967, 46, 0.653,  -32.87,    6.58,   -1.94,    9.57,   -1.30,   -0.26,  -23.26,    5.34,   -1.45
60.4966, 46, 0.653,  -34.04,    6.42,   -1.97,    9.56,   -1.37,   -0.25,  -24.43,    5.14,   -1.40
60.5966, 46, 0.653,  -21.84,    5.36,   -1.03,    9.43,   -1.28,   -0.20,  -12.38,    4.09,   -0.74
60.6965, 46, 0.653,  -12.15,    3.55,   -0.38,    9.30,   -1.22,   -0.10,   -2.84,    2.34,   -0.22
60.7969, 46, 0.653,  -16.27,    3.04,   -0.43,    9.16,   -1.06,   -0.05,   -7.10,    2.00,   -0.18
60.8968, 46, 0.638,    3.19,    3.50,    0.10,    9.18,   -0.98,   -0.03,   12.36,    2.52,    0.02
60.9960, 46, 0.638,   11.27,    3.04,    0.30,    9.24,   -0.98,   -0.05,   20.50,    2.09,    0.06
61.0962, 46, 0.638,    5.82,    3.61,    0.18,    9.19,   -0.99,   -0.07,   15.00,    2.63,    0.01
61.1963, 46, 0.638,    6.17,    3.75,    0.20,    9.20,   -0.96,   -0.09,   15.35,    2.80,    0.01
61.2964, 46, 0.638,    8.80,    3.66,    0.28,    9.24,   -1.01,   -0.12,   18.03,    2.68,    0.01
61.3964, 46, 0.638,   29.53,    2.70,    0.71,    9.32,   -1.13,   -0.13,   38.83,    1.79,    0.04
61.4965, 46, 0.638,   39.12,    1.24,    0.44,    9.38,   -1.11,   -0.17,   48.48,    0.48,   -0.40
61.5966, 46, 0.638,   30.48,    4.91,    1.34,    9.57,   -1.13,   -0.22,   40.00,    4.04,    0.57
61.6968, 46, 0.638,   35.53,    4.06,    1.30,    9.76,   -1.23,   -0.22,   45.22,    3.18,    0.40
61.7964, 46, 0.638,   33.85,    5.24,    1.60,    9.86,   -1.35,   -0.25,   43.63,    4.26,    0.63
61.8962, 46, 0.629,   32.62,    5.71,    1.67,    9.96,   -1.39,   -0.27,   42.49,    4.69,    0.70
61.9963, 46, 0.629,   33.56,    5.42,    1.64,   10.05,   -1.42,   -0.36,   43.50,    4.44,    0.55
62.0966, 46, 0.629,   26.12,    7.03,    1.63,   10.10,   -1.41,   -0.38,   36.10,    5.92,    0.67
62.1962, 46, 0.629,   12.66,    5.25,    0.58,    9.92,   -1.30,   -0.37,   22.53,    4.06,   -0.06
62.2969, 46, 0.629,   11.52,    4.79,    0.48,    9.86,   -1.13,   -0.36,   21.34,    3.75,   -0.10
62.3961, 46, 0.629,   -5.22,    3.80,   -0.17,    9.68,   -0.96,   -0.34,    4.44,    2.81,   -0.43
62.4965, 46, 0.629,   -3.57,   -0.83,    0.03,    9.49,   -0.76,   -0.33,    5.93,   -1.61,   -0.25
62.5970, 46, 0.629,   -0.87,   -1.21,    0.01,    9.32,   -0.74,   -0.37,    8.47,   -1.96,   -0.34
62.6962, 46, 0.629,  -26.08,    4.95,   -1.15,    9.25,   -0.68,   -0.37,  -16.83,    4.17,   -1.18
62.7961, 46, 0.629,  -19.97,    4.45,   -0.78,    9.20,   -0.60,   -0.34,  -10.78,    3.77,   -0.90
62.8973, 46, 0.465,  -33.72,    6.35,   -1.93,    8.95,   -0.67,   -0.30,  -24.76,    5.63,   -1.80
62.9965, 46, 0.465,  -33.52,    6.28,   -1.89,    8.85,   -0.79,   -0.28,  -24.65,    5.47,   -1.69
63.0957, 46, 0.465,  -34.80,    5.97,   -1.87,    8.87,   -0.81,   -0.26,  -25.91,    5.16,   -1.63
63.1961, 46, 0.465,  -35.16,    5.75,   -1.82,    8.80,   -0.85,   -0.27,  -26.33,    4.91,   -1.55
63.2960, 46, 0.465,   -6.41,    2.59,   -0.14,    8.78,   -0.81,   -0.27,    2.36,    1.76,   -0.33
63.3965, 46, 0.465,   -4.85,    1.19,   -0.05,    8.83,   -0.70,   -0.26,    3.98,    0.47,   -0.25
63.4960, 46, 0.465,    1.72,    0.79,    0.01,    8.83,   -0.64,   -0.28,   10.54,    0.15,   -0.29
63.5959, 46, 0.465,   13.23,   -0.85,   -0.10,    8.88,   -0.54,   -0.34,   22.12,   -1.29,   -0.56
63.6967, 46, 0.465,    7.00,    0.08,    0.00,    8.99,   -0.46,   -0.41,   15.99,   -0.33,   -0.46
63.7959, 46, 0.465,    9.96,   -9.74,   -0.85,    9.01,   -0.51,   -0.43,   19.06,  -10.16,   -1.37
63.8965, 46, 0.477,    9.89,   -9.82,   -0.85,    9.00,   -0.64,   -0.43,   18.99,  -10.38,   -1.39
63.9966, 46, 0.477,   -9.32,   -8.32,    0.68,    8.98,   -0.76,   -0.43,   -0.29,   -9.13,    0.37
64.0959, 46, 0.477,   -6.80,   -8.67,    0.52,    9.02,   -0.95,   -0.40,    2.27,   -9.66,    0.23
64.1965, 46, 0.477,   -6.65,   -8.98,    0.52,    9.01,   -1.16,   -0.41,    2.40,  -10.17,    0.25
64.2959, 46, 0.477,    1.59,  -12.78,   -0.18,    9.07,   -1.17,   -0.40,   10.76,  -13.93,   -0.62
64.3964, 46, 0.477,    3.75,  -15.90,   -0.52,    9.10,   -1.28,   -0.43,   13.00,  -17.15,   -1.06
64.4967, 46, 0.477,    3.71,  -16.19,   -0.53,    9.09,   -1.33,   -0.44,   12.95,  -17.49,   -1.08
64.5960, 46, 0.477,    4.50,  -19.05,   -0.76,    9.07,   -1.29,   -0.42,   13.75,  -20.30,   -1.31
64.6957, 45, 0.477,    4.56,  -18.76,   -0.75,    9.07,   -1.25,   -0.42,   13.80,  -19.97,   -1.30
64.7959, 45, 0.477,    3.96,  -20.31,   -0.71,    9.12,   -1.27,   -0.44,   13.28,  -21.54,   -1.27
64.8962, 45, 0.470,    3.78,  -20.28,   -0.68,    9.13,   -1.30,   -0.42,   13.09,  -21.54,   -1.22
64.9964, 45, 0.470,    3.64,  -20.12,   -0.65,    9.11,   -1.33,   -0.40,   12.93,  -21.42,   -1.16
65.0957, 45, 0.470,    3.48,  -20.25,   -0.62,    9.12,   -1.38,   -0.37,   12.77,  -21.60,   -1.11
65.1965, 45, 0.470,    3.54,  -20.26,   -0.63,    9.12,   -1.37,   -0.38,   12.84,  -21.60,   -1.13
65.2965, 45, 0.470,   11.55,   -8.36,   -0.85,    9.12,   -1.39,   -0.37,   20.78,   -9.65,   -1.50
65.3965, 45, 0.470,    6.74,   -7.35,   -0.43,    9.12,   -1.47,   -0.36,   15.94,   -8.76,   -0.97
65.4961, 45, 0.470,    4.80,   -7.12,   -0.30,    9.12,   -1.48,   -0.37,   13.98,   -8.56,   -0.79
65.5966, 45, 0.470,    9.66,   13.74,    1.17,    9.13,   -1.32,   -0.37,   18.65,   12.49,    0.56
65.6965, 45, 0.470,    3.90,   27.48,    0.95,    9.18,   -1.24,   -0.40,   12.82,   26.27,    0.41
65.7965, 45, 0.470,    3.18,   27.08,    0.77,    9.14,   -1.20,   -0.42,   12.08,   25.91,    0.23
65.8965, 45, 0.500,    6.04,   34.24,    1.86,    9.16,   -1.00,   -0.41,   14.86,   33.29,    1.24
65.9957, 45, 0.500,    8.01,   37.79,    2.75,    9.20,   -0.86,   -0.45,   16.78,   36.99,    2.04
66.0959, 45, 0.500,    5.97,   33.60,    1.80,    9.22,   -0.80,   -0.48,   14.82,   32.85,    1.14
66.1957, 45, 0.500,    6.56,   35.84,    2.12,    9.19,   -0.72,   -0.49,   15.34,   35.18,    1.43
66.2964, 45, 0.500,    1.47,   35.01,    0.46,    9.18,   -0.67,   -0.51,   10.29,   34.36,   -0.17
66.3964, 45, 0.500,    2.08,   34.99,    0.66,    9.17,   -0.59,   -0.51,   10.88,   34.42,    0.01
66.4966, 45, 0.500,    3.70,   35.25,    1.17,    9.20,   -0.45,   -0.54,   12.50,   34.83,    0.48
66.5966, 45, 0.500,    2.69,   34.86,    0.85,    9.22,   -0.39,   -0.53,   11.53,   34.50,    0.18
66.6957, 45, 0.500,    2.82,   35.47,    0.90,    9.17,   -0.45,   -0.52,   11.61,   35.05,    0.25
66.7960, 45, 0.500,    2.79,   32.61,    0.82,    9.13,   -0.45,   -0.49,   11.60,   32.19,    0.21
66.8966, 45, 0.514,   10.97,   -1.69,   -0.16,    9.14,   -0.64,   -0.50,   20.13,   -2.22,   -0.78
66.9960, 45, 0.514,    9.96,  -16.54,   -1.45,    9.17,   -0.78,   -0.53,   19.33,  -17.22,   -2.14
67.0959, 45, 0.514,    4.95,  -15.65,   -0.68,    9.16,   -0.87,   -0.54,   14.28,  -16.47,   -1.32
67.1965, 45, 0.514,    5.66,  -23.48,   -1.18,    9.15,   -0.97,   -0.54,   15.09,  -24.39,   -1.87
67.2966, 45, 0.514,    3.74,  -23.88,   -0.79,    9.14,   -1.10,   -0.56,   13.16,  -24.94,   -1.49
67.3959, 45, 0.514,    5.79,  -20.71,   -1.06,    9.14,   -1.21,   -0.58,   15.19,  -21.86,   -1.81
67.4959, 45, 0.514,    3.61,  -22.06,   -0.70,    9.12,   -1.22,   -0.59,   13.01,  -23.24,   -1.43
67.5958, 45, 0.514,    4.21,  -20.60,   -0.76,    9.15,   -1.23,   -0.60,   13.62,  -21.78,   -1.51
67.6965, 45, 0.514,    4.46,  -20.63,   -0.81,    9.13,   -1.25,   -0.62,   13.86,  -21.83,   -1.58
67.7957, 45, 0.514,    4.16,  -20.66,   -0.76,    9.10,   -1.31,   -0.61,   13.53,  -21.92,   -1.52
67.8964, 45, 0.528,    4.25,  -20.79,   -0.78,    9.02,   -1.33,   -0.57,   13.53,  -22.07,   -1.50
67.9959, 45, 0.528,    8.37,   -7.22,   -0.53,    9.00,   -1.31,   -0.56,   17.46,   -8.44,   -1.29
68.0957, 45, 0.528,    2.67,   16.94,    0.40,    9.03,   -1.20,   -0.57,   11.51,   15.76,   -0.26
68.1958, 45, 0.528,    5.84,   19.33,    1.00,    9.00,   -1.19,   -0.62,   14.59,   18.21,    0.22
68.2959, 45, 0.528,    4.11,   21.78,    0.79,    8.93,   -1.09,   -0.61,   12.77,   20.73,    0.06
68.3958, 45, 0.528,   -1.86,   22.34,   -0.37,    8.92,   -0.89,   -0.59,    6.83,   21.43,   -0.97
68.4965, 45, 0.528,   -4.31,   23.55,   -0.90,    8.95,   -0.75,   -0.60,    4.41,   22.76,   -1.49
68.5964, 45, 0.528,   -3.45,   23.39,   -0.71,    8.96,   -0.60,   -0.63,    5.26,   22.76,   -1.35
68.6960, 45, 0.528,   -4.12,   23.30,   -0.85,    8.96,   -0.48,   -0.64,    4.58,   22.77,   -1.50
68.7960, 45, 0.528,   -2.49,   26.00,   -0.58,    9.00,   -0.42,   -0.66,    6.20,   25.55,   -1.28
68.8957, 45, 0.517,   -0.94,   28.02,   -0.23,    8.92,   -0.34,   -0.68,    7.63,   27.67,   -0.99
68.9957, 45, 0.517,    2.20,   35.05,    0.70,    8.89,   -0.21,   -0.69,   10.61,   34.86,   -0.15
69.0958, 45, 0.517,    4.42,   34.74,    1.38,    8.85,   -0.14,   -0.71,   12.78,   34.65,    0.51
69.1965, 45, 0.517,    2.22,   34.72,    0.69,    8.78,   -0.14,   -0.72,   10.50,   34.60,   -0.19
69.2956, 45, 0.517,    2.10,   34.80,    0.66,    8.78,   -0.07,   -0.69,   10.40,   34.75,   -0.18
69.3956, 45, 0.517,  135.00,   35.26,   75.00,    8.75,   -0.10,   -0.71,  144.05,   35.84,   75.53
69.4961, 45, 0.517,   -0.96,    5.13,   -0.04,    8.73,   -0.09,   -0.70,    7.71,    5.02,   -0.75
69.5965, 45, 0.517,   -0.42,    4.72,   -0.02,    8.67,   -0.06,   -0.68,    8.19,    4.65,   -0.70
69.6965, 46, 0.517,   -2.30,    2.67,   -0.05,    8.65,   -0.08,   -0.66,    6.32,    2.57,   -0.71
69.7959, 46, 0.517,   -0.43,    2.54,   -0.01,    8.68,   -0.07,   -0.64,    8.21,    2.46,   -0.65
69.8965, 46, 0.540,    7.36,    2.95,    0.19,    8.81,   -0.14,   -0.53,   16.14,    2.88,   -0.35
69.9956, 46, 0.540,    6.52,    2.78,    0.16,    9.40,   -0.02,   -0.70,   15.88,    2.83,   -0.54
70.0965, 46, 0.540,  135.00,   35.26,   75.00,    9.37,    0.67,   -0.50,  144.96,   35.14,   76.01
70.1962, 46, 0.540,   -0.45,    9.63,   -0.04,    8.32,    1.12,   -0.71,    7.75,   10.74,   -0.77
70.2965, 46, 0.540,    1.18,    8.80,    0.09,    7.85,    1.61,   -0.94,    8.88,   10.43,   -0.83
70.3964, 46, 0.540,    1.88,    8.94,    0.15,    7.54,    1.89,   -1.17,    9.24,   10.86,   -0.98
70.4964, 46, 0.540,  135.00,   35.26,   75.00,    7.61,    4.36,   -1.00,  145.17,   32.80,   79.50
70.5958, 46, 0.540,  135.00,   35.26,   75.00,    7.94,    7.05,   -0.77,  146.48,   30.65,   81.42
70.6961, 46, 0.540,    3.04,    6.42,    0.17,    8.50,    9.51,   -0.43,   11.59,   15.94,    0.25
70.7958, 46, 0.540,   -5.10,    6.05,   -0.27,    9.61,   12.17,   -0.61,    4.21,   18.12,   -2.02
70.8958, 46, 0.510,    3.34,    2.55,    0.07,   11.13,   13.65,   -0.95,   14.56,   16.24,   -0.07
70.9956, 46, 0.510,  135.00,   35.26,   75.00,   10.71,   12.15,   -0.72,  151.04,   26.73,   85.16
71.0957, 46, 0.510,  135.00,   35.26,   75.00,    9.08,    3.63,   -0.80,  146.21,   33.21,   78.74
71.1964, 46, 0.510,  135.00,   35.26,   75.00,    8.99,   -5.25,   -1.82,  141.96,   40.22,   71.82
71.2964, 46, 0.510,  135.00,   35.26,   75.00,    8.68,   -7.07,   -3.02,  141.05,   42.33,   71.11
71.3965, 46, 0.510,  135.00,   35.26,   75.00,    9.17,  -11.10,   -3.77,  138.96,   45.54,   67.57
71.4958, 46, 0.510,  135.00,   35.26,   75.00,    5.10,  -12.88,   -3.61,  133.39,   46.54,   65.44
71.5965, 46, 0.510,  135.00,   35.26,   75.00,    3.42,  -13.97,   -4.13,  131.01,   47.60,   64.64
71.6958, 46, 0.510,  135.00,   35.26,   75.00,    3.40,  -14.22,   -3.62,  130.56,   47.36,   63.90
71.7956, 46, 0.510,  135.00,   35.26,   75.00,    3.43,  -13.07,   -2.86,  131.27,   46.08,   64.58
71.8956, 46, 0.504,  135.00,   35.26,   75.00,    3.92,  -12.83,   -2.61,  131.86,   45.74,   64.63
71.9964, 46, 0.504,  135.00,   35.26,   75.00,    4.67,  -12.69,   -2.74,  132.76,   45.75,   64.89
72.0964, 46, 0.504,  135.00,   35.26,   75.00,    5.33,  -12.18,   -2.48,  133.73,   45.24,   65.24
